doi,title,sentence,char_len
10.1038/s41467-022-32190-7,Fundamental investigations on the sodium-ion transport properties of mixed polyanion solid-state battery electrolytes,P 5+ and Na + ) during Na-ion migration.,40
10.1038/ncomms8496,Probing three-dimensional sodiation–desodiation equilibrium in sodium-ion batteries by in situ hard X-ray nanotomography,Assembly of micron-scaled Na-ion batteries.,43
10.1038/s41467-019-09933-0,Sustainability-inspired cell design for a fully recyclable sodium ion battery,A fully recyclable sodium ion battery design.,45
10.1038/ncomms7401,Ti-substituted tunnel-type Na0.44MnO2 oxide as a negative electrode for aqueous sodium-ion batteries,Sodium storage performance in aqueous system.,45
10.1038/s41467-020-15938-x,Operando visualisation of battery chemistry in a sodium-ion battery by 23Na magnetic resonance imaging,Galvanostatic plating in a sodium metal cell.,45
10.1038/s41467-018-03257-1,Monovalent manganese based anodes and co-solvent electrolyte for stable low-cost high-rate sodium-ion batteries,An all-PBA low-cost Na-ion battery full cell.,45
10.1007/s40820-019-0311-z,Boosting Sodium Storage of Fe1−xS/MoS2 Composite via Heterointerface Engineering,Synthesis of the Prussian blue (PB) nanocubes.,46
10.1038/s41467-020-15938-x,Operando visualisation of battery chemistry in a sodium-ion battery by 23Na magnetic resonance imaging,Charge/discharge cycle in a sodium metal cell.,46
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,In this part a short review a SIB is presented.,47
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications",NaFePO 4 was early reported as cathode for SIBs.,48
10.1038/s41467-019-09933-0,Sustainability-inspired cell design for a fully recyclable sodium ion battery,A high-performance and stable sodium ion battery.,49
10.1038/ncomms7401,Ti-substituted tunnel-type Na0.44MnO2 oxide as a negative electrode for aqueous sodium-ion batteries,Sodium storage performance in non-aqueous system.,49
10.1038/ncomms7865,Radially aligned hierarchical columnar structure as a cathode material for high energy density sodium-ion batteries,Advanced structure of high-energy sodium cathode.,49
10.1007/s40820-020-00587-y,From Micropores to Ultra-micropores inside Hard Carbon: Toward Enhanced Capacity in Room-/Low-Temperature Sodium-Ion Storage,Sodium metal was applied as the counter electrode.,50
10.1038/s41467-019-10551-z,Tailoring sodium intercalation in graphite for high energy and power sodium ion batteries,Electrochemical performance of Na-ion full batteries.,53
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,Several hard carbons can perform well in coin cells vs.,55
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications",MnS-MoS 2 exhibited excellent sodium storage properties.,56
10.1038/ncomms10308,Insertion compounds and composites made by ball milling for advanced sodium-ion batteries,Na-enriched phases for highly efficient Na-ion batteries.,57
10.1038/s41467-019-12939-3,Structural water and disordered structure promote aqueous sodium-ion energy storage in sodium-birnessite,"However, Na-ion storage is challenging for its large radius.",60
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,We further investigated the case of commercial hard carbons.,60
10.1021/ja512383b,Removal of Interstitial H<sub>2</sub>O in Hexacyanometallates for a Superior Cathode of a Sodium-Ion Battery,We have chosen hard carbon as the anode for a full-cell test.,61
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,These properties induced improved Na-ion storage performance.,61
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications",Vacancy is an important factor promoting sodium ions storage.,61
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications","However, the NASICON cathode has low electronic conductivity.",61
