doi,title,year,abstract,citations,source
10.2139/ssrn.4017579,Electrochemical Active Mn Dopped Iron Hexacyanoferrate as Cathode Material in Sodium-Ion Battery,2022,,0,crossref
10.54254/2755-2721/26/20230824,Nanotechnology based on anode and cathode materials of sodium-ion battery,2023,"<jats:p>With the urgent need for carbon neutrality and the new energy vehicle industry's quick development around the world, the market demand for batteries is growing rapidly. At present, the batteries in the market are mainly lithium-ion batteries. However, the shortage and uneven distribution of lithium deposits worldwide result in high production costs. In recent years, sodium-ion batteries have developed rapidly for the sake of their similar principles and easy access to sodium resources, a",4,crossref
10.1149/ma2019-02/6/526,A High Voltage Sodium Ion Battery Based on Low-Cost Sodium Iron Sulfate Cathode Material,2019,"<jats:p> 	It is desirable to develop alternative electrochemical devices with comparable performance but lower cost to substitute for lithium-ion batteries. Sodium-ion batteries show very similar electrochemical mechanism to lithium-ion batteries. The abundant sodium resource can considerably reduce the cost of energy storage devices as compared with lithium-ion batteries. In this work, a new derivative of sodium iron sulfates, Na<jats:sub>6</jats:sub>Fe<jats:sub>5</jats:sub>(SO<jats:sub>4</jats",1,crossref
10.1680/jsuin.17.00036,Observation on Sodium p-Toluenesulfonate Doped Polypyrrole Cathode for Sodium Ion Battery,2017,,3,crossref
10.1149/ma2019-02/6/510,Revealing the Doping Effect in Stabilizing Layered Cathode Materials for Sodium-Ion Battery,2019,"<jats:p> 	Energy storage devices allow us to use energy in a flexible, high efficient and eco-benign way, which has profoundly shaped our everyday life. The most successful energy storage device is lithium-ion battery (LIB), which has dominated the portable electronic devices and are now penetrating deep into vehicle markets. However, the limited reserves of lithium and cobalt in the earth crust cannot fulfill the huge demand gap of electrochemical energy storage, and the fast expansion of LIB i",0,crossref
10.5796/electrochemistry.85.179,Effect of Concentrated Electrolyte on Aqueous Sodium-ion Battery with Sodium Manganese Hexacyanoferrate Cathode,2017,,126,crossref
10.1016/j.cej.2023.144592,Nanostructured coating strategies of cathode for improved sodium ion battery performance,2023,,67,crossref
10.1149/ma2025-014522mtgabs,(<i>Invited</i>) Optimization of Prussian Blue Particles for Sodium Ion Battery Cathode Applications,2025,"<jats:p>  	Sodium-ion batteries (SIBs) are regarded as affordable alternative to lithium-ion batteries because they rely on widely available and low-cost raw materials, making them ideal for large-scale energy storage systems (ESS). In recent years, significant research has focused on the development of different cathode materials to enhance the performance of SIBs. Recently, layered oxides and polyanionic compounds have been actively studied as promising cathode materials. However, in this stud",0,crossref
10.1149/ma2015-01/2/259,Composite Prussian Blue Analogues Utilized As Cathode Materials in a Sodium Ion Battery,2015,"<jats:p>Increased environmental pollution and the inherent reliance of foreign import for fossil fuels and lithium have made the need for research towards alternative electrical energy storage systems. In this context, research in sodium ion batteries (NIBs) has become more prevalent since the price in lithium has increased due to its demand and reserve location.  Sodium is an abundant resource that is low cost and safe which makes it an attractive alternative to lithium. Its chemical properties",1,crossref
10.62051/hj2z2c69,The Progress of Cathode and Electrolyte for Low Temperature Sodium-Ion Battery,2024,"<jats:p>The expanding demand for efficient energy storage systems that operate effectively in low-temperature environments has led to increased research interest in sodium-ion batteries (SIBs) due to their affordability, safety, and the abundance of sodium resources. With the development of industry, SIBs need to face the challenge of extreme temperatures, especially at low temperatures where the decrease in ion conductivity leads to a significant decrease in SIB capacity. This review article pr",0,crossref
10.1149/ma2024-0291291mtgabs,(Invited) High-Performance Sodium-Ion Battery Using Copper Sulfide Anode and Nasicon-Type Cathode,2024,"<jats:p>  	Recently, the abrupt needs for lithium-ion batteries and the delocalization of lithium and electrode materials are causing battery price increases and instability. As an alternative, sodium-ion batteries are receiving great attention because sodium-ion batteries have relatively cheap raw materials, minerals are distributed around the world, and aluminum can be used as a current collector instead of copper, making the battery relatively inexpensive. In this study, we would like to intr",0,crossref
10.1016/j.ceramint.2021.06.104,Magnetic stirring assisted hydrothermal synthesis of Na3MnCO3PO4 cathode material for sodium-ion battery,2021,,12,crossref
10.1016/j.cej.2023.147760,A 3.5 V-class organic sodium-ion battery using a croconate cathode,2024,,12,crossref
10.1016/j.electacta.2018.03.058,Layered P2- type novel Na0.7Ni0.3Mn0.59Co0.1Cu0.01O2 cathode material for high-capacity &amp; stable rechargeable sodium ion battery,2018,,41,crossref
10.1149/ma2025-013265mtgabs,Electron Channeling Contrast Imaging of Cracking Behavior in a Sodium-Ion Battery Cathode,2025,"<jats:p>  	Crack formation and propagation are essential factors affecting the performance and lifespan of cathode materials in ion batteries. Cracks represent a primary mechanical degradation mode that significantly contributes to battery capacity loss over time. They disrupt the internal contact between cathode components, thereby reducing both electronic and ionic conductivity. Crack propagation during battery cycling could lead to the fracture of cathode particles, resulting in the loss of a",0,crossref
10.1149/ma2018-01/3/410,Metal Doped Ammonium Vanadium Oxide Cathode with Exceptionally Discharge Capacity for Sodium-Ion Battery Fabrication,2018,"<jats:p>	 	Sodium ion battery, has attracted great attention to the energy storage system for its low cost and uniform abundant resources in the earth crust and also for its similar chemical property to lithium. Basically, sodium-ion has larger ionic size than lithium needs a wider open framework to accumulate the larger ion during the intercalation-deintercalation process. Herein, we demonstrate one-dimension ammonium vanadium oxide (NH<jats:sub>4</jats:sub>V<jats:sub>4</jats:sub>O<jats:sub>10<",0,crossref
10.1007/s11581-023-05053-4,α/β–Type NaMn0.89Ni0.11O2: as high-performance sodium-ion battery cathode,2023,,3,crossref
