doi,title,year,citations,pdf_url,source
10.1038/ncomms12122,Array of nanosheets render ultrafast and high-capacity Na-ion storage by tunable pseudocapacitance,2016,1424,https://www.nature.com/articles/ncomms12122.pdf,openalex
10.1038/ncomms7929,Na+ intercalation pseudocapacitance in graphene-coupled titanium oxide enabling ultra-fast sodium storage and long-term cycling,2015,1135,https://www.nature.com/articles/ncomms7929.pdf,openalex
10.1021/acs.accounts.5b00482,Na-Ion Battery Anodes: Materials and Electrochemistry,2016,1051,https://www.osti.gov/biblio/1388518,openalex
10.1002/adma.201405370,High‐Performance Sodium Ion Batteries Based on a 3D Anode from Nitrogen‐Doped Graphene Foams,2015,889,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201405370,openalex
10.1021/acsenergylett.0c02181,How Comparable Are Sodium-Ion Batteries to Lithium-Ion Counterparts?,2020,692,https://pubs.acs.org/doi/pdf/10.1021/acsenergylett.0c02181,openalex
10.1002/aenm.201703238,Low‐Defect and Low‐Porosity Hard Carbon with High Coulombic Efficiency and High Capacity for Practical Sodium Ion Battery Anode,2018,671,https://www.osti.gov/biblio/1429526,openalex
10.1038/s41467-023-39637-5,Revealing the closed pore formation of waste wood-derived hard carbon for advanced sodium-ion battery,2023,661,https://www.nature.com/articles/s41467-023-39637-5.pdf,openalex
10.1149/2.0091514jes,Review—Hard Carbon Negative Electrode Materials for Sodium-Ion Batteries,2015,612,https://doi.org/10.1149/2.0091514jes,openalex
10.1038/s41467-020-14444-4,Reversible structural evolution of sodium-rich rhombohedral Prussian blue for sodium-ion batteries,2020,612,https://www.nature.com/articles/s41467-020-14444-4.pdf,openalex
10.1038/ncomms7954,P2-Na0.6[Cr0.6Ti0.4]O2 cation-disordered electrode for high-rate symmetric rechargeable sodium-ion batteries,2015,579,https://www.nature.com/articles/ncomms7954.pdf,openalex
10.1002/anie.202013951,MgO‐Template Synthesis of Extremely High Capacity Hard Carbon for Na‐Ion Battery,2020,519,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202013951,openalex
10.1126/sciadv.aar6018,Na <sup>+</sup> /vacancy disordering promises high-rate Na-ion batteries,2018,511,https://advances.sciencemag.org/content/advances/4/3/eaar6018.full.pdf,openalex
10.1149/2.0201514jes,Review—Manganese-Based P2-Type Transition Metal Oxides as Sodium-Ion Battery Cathode Materials,2015,501,https://iopscience.iop.org/article/10.1149/2.0201514jes/pdf,openalex
10.1002/aenm.201602894,Mechanism of Na‐Ion Storage in Hard Carbon Anodes Revealed by Heteroatom Doping,2017,490,https://www.osti.gov/servlets/purl/1361320,openalex
10.1021/jacs.7b00164,Exploring Oxygen Activity in the High Energy P2-Type Na<sub>0.78</sub>Ni<sub>0.23</sub>Mn<sub>0.69</sub>O<sub>2</sub> Cathode Material for Na-Ion Batteries,2017,487,https://escholarship.org/uc/item/8q54f648,openalex
10.1038/s41467-019-09170-5,NASICON-type air-stable and all-climate cathode for sodium-ion batteries with low cost and high-power density,2019,479,https://www.nature.com/articles/s41467-019-09170-5.pdf,openalex
10.1038/s41467-019-08506-5,Evolution of the electrochemical interface in sodium ion batteries with ether electrolytes,2019,466,https://www.nature.com/articles/s41467-019-08506-5.pdf,openalex
10.1038/s41467-017-01202-2,Hydrogen substituted graphdiyne as carbon-rich flexible electrode for lithium and sodium ion batteries,2017,463,https://www.nature.com/articles/s41467-017-01202-2.pdf,openalex
10.1039/c4ta06467d,Recent developments in electrode materials for sodium-ion batteries,2015,462,https://pubs.rsc.org/en/content/articlepdf/2015/ta/c4ta06467d,openalex
10.1038/s41560-017-0014-y,High-performance sodium–organic battery by realizing four-sodium storage in disodium rhodizonate,2017,458,https://www.osti.gov/servlets/purl/1425914,openalex
10.1038/s41467-021-22523-3,Tuning local chemistry of P2 layered-oxide cathode for high energy and long cycles of sodium-ion battery,2021,455,https://www.nature.com/articles/s41467-021-22523-3.pdf,openalex
10.1039/d0ee01363c,A revised mechanistic model for sodium insertion in hard carbons,2020,438,https://pubs.rsc.org/en/content/articlepdf/2020/ee/d0ee01363c,openalex
10.1021/jacs.7b05176,Designing Air-Stable O3-Type Cathode Materials by Combined Structure Modulation for Na-Ion Batteries,2017,434,https://www.osti.gov/servlets/purl/1372445,openalex
10.1021/jacs.8b08638,Tuning P2-Structured Cathode Material by Na-Site Mg Substitution for Na-Ion Batteries,2018,429,https://www.osti.gov/biblio/1488528,openalex
10.1002/cey2.196,Understanding of the sodium storage mechanism in hard carbon anodes,2022,428,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cey2.196,openalex
